Symptom Category,Common Symptoms,Possible Causes,Recommended Actions,How to detect
UI Performance Issues,Slow loading times,Server overload ,Increase the max memory in the Jvm startup,Extract the usage using Nmon report or any other commands like top
UI Performance Issues,Crashes or freezes,Memory leaks,Analyse the code for possible memory leaks,Code analysis
UI Performance Issues,Crashes or freezes,Issue in load balancing in case of multiple node configuration,Check the loadbalancer related configurations,Mostly handled separately from the application
UI Performance Issues,Crashes or freezes,Network issues ,Check the ports,Run the Netstat command
Batch Performance Issues,Elongated Job execution time - Job hanging,High cost SQLs,SQL tuning,Extract Oracle reports
Batch Performance Issues,Elongated Job execution time - Job hanging,Index are stale,"Rebuilding oracle statistics
Adding or removing indexes",Extract Oracle reports
Batch Performance Issues,Elongated Job execution time - Job hanging,Waiting or locked threads,Code fix,Generate Heap and Thread dump
Batch Performance Issues,Elongated Job execution time - Job hanging,SQL plan got changed,Profile the SQL plan,Generate Explain plan and also check the V$SQL PLAN History
Batch Performance Issues,Recurring Pricing is long running ,Due to some queries in a function invoked in the process,Need to find the purpose of it and optimize the queries,Extract oracle reports.
Batch Performance Issues,Batch job failed-Value larger than precision not allowed for this column,Compare the column datatypes and length of the data,find the affected column and check the datatype details ,
Batch Performance Issues,Elongated Job execution time - Job hanging,JVM hung,GC and JVM parameter to be reviewed,
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors","Exception Price list not applied
","Correct the effective date in exception pricelist screen.
Qualifying conditions needs to be reviewed","Data analysis to be done in PTD, Bill, RTD and RTE to be done"
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Wrong price configured,,
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Over charging of transactions,,
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Invoice process not completed successfully,Server manager logs for pricing and invoicing needs to be analysed and corrective actions taken,
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Pricing Process not completed successfully,,
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Transactions rejected,Input transactions files/format needs to be validated,
Invoice Functionality,Invoice Job failed,Invoice getting failed with last bill of the customer not closed or missing,Correct the last bill of the impacted customer,Analyse the invoice log
Invoice Functionality,Invoice Job failed,Invoice getting failed with tax scheme details not found for the customer,Correct the tax scheme dates for the impacted customer,
Invoice Functionality,Monthly Invoicing got stuck-XVAT,"Check CONS_INV_REQ_DETAILS table for status of invoicing.
Check any customer with large number of transactions
Check memory and diskspace - sufficient for reprocessing","Verify the inputs
Verify if memory and diskspace are sufficient for reprocessing",
Invoice Functionality,Error in On-demand Bill Processing- Page Size Not Available,"the error message says ""Failed to construct Kafka consumer"", can conclude that Kafka instance is not known to the Billing BP. Check nifi.properties file where . STREAMING_ATTRIBUTES.properties file was not properly included in the nifi.properties.",Check if any line break is there in nifi.properties file not allowing the value to set properly,Correct the properties
Invoice Functionality,"Direct debit amount is  wrong
Invoice job ended with errors",Duplicate Transactions processed,,
Process Container,Process Container Not starting,Max memory configured not enough,Increase the max memory in the Jvm startup,Heap dump and thread dump analysis
Process Container,Out of memory Error while restarting,High memory being utilized during PC restrart,"Analyse the reason for using more memory
OR
Increase the size of column if value too large issue reported",Analysing the memory lookups
Process Container,Customercare service not available,customercare endpoint in parameters should be properly set. Refer cc endpoint in TBMS_INIT_PARAMETERS,Refer TBMS_INIT_PARAMETERS for customer care endpoint,Check if Customer screen is accessible in UI
Process Container,TPE service failed to initialize-Failed to initialize service 'TBMS-TPE'.,"In the PC Console , in Data source Configuration  the validation query  given was wrong.It was given as  ""select from dual""
OR
DataSource Name was typed as ds","Updated the query as  ""select 1 from dual""  and restart PC
Check if datasource name is typed as DS",Check if TPE service is initialized
Process Container,"TPE not starting, in Initalized state only while PC auto installer
",Value of parameter autostart as N in deploy.xml for TPE service.,"The value of this parameter should be Y for service in (deploy.xml) to autostart as part of PC start up. 

<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>

<collector autostart=""Y"" name=""TBMS-TPE""> 

<Listener className=""com.suntecgroup.tbms.tpe.core.server.ServerManager""/>

 <!-- <Description>TPE ServerManager Logger</Description>-->

 <Logger default=""N"" name=""ServerManager"" shared=""Y"">",Check if TPE service is initialized
Process Container,PC Restart Failed,Value too large for change_log.cl node id column,"Analyse the reason for using more memory
OR
Increase the size of column if value too large issue reported",
Process Container,"Saved Cluster name INSTANCE_8082 != configured name
",Startup of TPE service fails with this error in the tbms_pc.log,"Cassandra startup issue
Go to your PC\DataGrid folder. Delete the store folder there. Start Process Container again",
Process Container,Error in Scheduler for PC restart,Time taken for PC restart has increased than the configured value in scheduler shell,"Analyse the reason for using more memory
OR
Increase the size of column if value too large issue reported",Analyse the counter size
Balance Loading,"Invalid field length error while processing balance
","1. The table BUSS_AGGR_SOURCE might have duplicate records I.e. having two records with same values for BAS_PROCESS_GROUP=’MAIN_FEED’
 2. The field delimiter parameter will be NULL in the config.properties file 
3. The Total_field_count parameter in config.properties file will have different length than given in the feed file","1.Delete the two records and insert only one record with the help of exported query 

2.update the field delimeter parameter with the correct value. Example , (comma) or | (pipe)

 3.give the total_field_count value same as provided in the feed file",Check balance processing status
Balance Loading,"Balance feed not picked for processing in Nifi
","1.Balance feed and markup file (.done) file is mandatory in Patches 2.4.26
2.Markup file should have .done extension in small letters and not capital letters
3.Make sure that the Balance Get file Process and Notify ConditionProcessor is up and running in Nifi","Verify done file , nifi is running",Balancefeed not picked for processing
Balance Loading,XelerateDBCPConnectionPool Error found in the balance Processing flows,"The flow below the balanceGetFile flow will pop up an error called java.lan.nullpointer exception. Further in the nifi_app.log file there will be an error posted.
The DB connection parameter will be invalid in the nifi.properties","Check the nifi properties file, a parameter called nifi.variable.registry.properties=./conf/config.properties,./billingConfig/BILLING_URL.properties,./billingConfig/STREAMING_ATTRIBUTES.properties In this parameter we removed the below values and saved.
#removed nifi.variable.registry.properties=./conf/reconciliation_config.properties,./conf/db.properties",Check if balance processing flow successful
Balance Loading,"Monthly Fall below fee charged wrongly eventhough the customer had met the last available balance criteria for that month	","Balance file might had zero balance/wrong data, which was sent from the bank team. Especially when the day falls on Bank holiday.	","Check the input balance file and see if the last available balance in the file has the actual customer last available balance	",Validation can be added after every balance loading to see if any customer segment-wise are having zero balances. This ensures proper balance loading.
Balance Loading,"Balance loading fails after certain amount of data loaded into the system.	","NiFi heap size set in the Balance processor could have exceed due to the load in the server.	","Increase the Nifi Maximum heap size  and Reduce the concurrency of processor(Note: Reducing the concurrency might can increase the processing time) and try reloading it again.	",Check the NiFi logs and CPU/Memory utilization reports.
Balance Loading,Job completed in very less time-Previous Balance Loading,All the balances for all the customers are not loaded in yearly table,Reload the balance after clearing the daily tables,Trend analysis with previous executions
Wrong pricing,Less price than the expected,Exception Price list not applied,"Correct the effective date in exception pricelist screen.
Qualifying conditions needs to be reviewed","Data analysis to be done in PTD, Bill, RTD and RTE to be done"
Wrong pricing,Less price than the expected,Wrong price configured,,
Wrong pricing,Less price than the expected,Over charging of transactions,,
Wrong pricing,Less price than the expected,Invoice process not completed successfully,Server manager logs for pricing and invoicing needs to be analysed and corrective actions taken,
Wrong pricing,Less price than the expected,Pricing Process not completed successfully,,
Wrong pricing,Less price than the expected,Transactions rejected,Input transactions files/format needs to be validated,
Wrong pricing,Less price than the expected,Duplicate Transactions processed,,
Wrong pricing,Less price than the expected,Freelimit Issue,Correct the freelimit ; IF still not working check if clearing the counter_data helps,
Wrong pricing,Less price than the expected,Records missing for consolidation,Reprocess the missing records,
Wrong pricing,Repricing was not working.,"Error in job or all accounts on the 
particular customer will be closed","Check whether any accounts are there in active 
status for that customer",
Wrong pricing,Account pticing- both services charged,"Check if One-to-one mapping is required for both service and event codes. After updating please restart the PC and continue testing .

If same event code for both services, check if against each service a qualifier is configured for the standard rate so it is considering only one service .",Correct the configuration and proceed,Verify pricing is correct
Wrong pricing,Less price than the expected,Fixed charge configured wrongly,Check the rate and correct as per business expectation,
Maker Checker,Checker not able to view the records,Records missing for consolidation,Reprocess the missing records,"Log level Analyis
Data level Analysis on MC tables"
Maker Checker,Record getting saved without verification,New user added to the checker role,Refresh the TBMS profiles,
Maker Checker,Record getting saved without verification,One Checker accepted the record so other checkers not able to view the record,Train the checkers on how the processing works,
Maker Checker,Record getting saved without verification,Full Maker Checker Flow not complted,Code fix required,
Maker Checker,Maker could not send the record for verification,WFM monitors not started,Restart the WFM,
CDM,Customer loading was failed due to Sequence generation error.,means Sequence generation limit has exhausted for Sequence Name: SRQ_NO,Reset the sequence - ALTER SEQUENCE srq_no RESTART 100;  ,"1. Check whether the mapping of SRQ_No is available in client_seq_nos table.
 2.Analyze the ServerManager.logto identify the issue.
ERROR: Failed to generate the sequence with sequence name: SRQ_NO | Error Context :-5152.003
ERROR: Failed To Generate Sequence:-String Index Out Of range: - 31."
CDM,Customer/Account Creation Error,License Issue,Apply the latest license,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Performance issue,Fine tune the queries,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,"During the customer update,got the error as in service_request_errors table 
""Cannot provide duplicate service entries in same date range.For the SERVICE [FBFEE].""",Duplicate Entries in Value_added_services table,"Remove the Duplicate entries from Value_added_services and value_added_services_stng by 
updating SRQ_status to 1 in Service_request table and PROCESS_STATUS flag to I in 
CUSTOMER_MASTER_STNG tablefor impacted cases. Run the Customer inbound job.
Check Value_added_services and Value_added_services_stng table if deuplicate entries for customer.","Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Sequence Issue,Reset the sequence,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Product not active,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Input data problem,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,"Account details are not getting loaded in to Staging table post Maria DB upgrade toVersion 10.6.11
","Upgraded Maria Db version to 10.6.11. for DBS Project and encountered TimeStamp Format issue.
Added - Mariadb 5.3 in java db mapping table
insert into java_db_mapping (TYPE_ID,TYPE_NAME,JAVA_OBJECT_TYPE,JDBC_TYPE,DB_TYPE,MIN_LENGTH,MAX_LENGTH,SCALE) values (71,null,'Timestamp','TIMESTAMP','DATETIME /* MARIADB-5.3 */',null,null,null);",Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Account ownership changes failed-Record not processed from staging table,DB write failed error,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Accounts not onboarding-Price to Account is not available-Identify th problematic product_service_mapping entry and correct it ,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Account closure failure,Account Closure jar failing IO Error: The Network Adapter could not establish the connection – TBMS 4.3,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
CDM,Customer/Account Creation Error,Open date mismatch between Customer and Account,Correct the configuration,"Log level Analyis
Oracle Reports
Thread dump
Data level analysis"
Reports,Report not getting generated,Performance issue due to huge input volume,Fine tune the queries,"Oracle Reports
Data level analysis
Code level analysis"
Reports,Wrong data in the report ,Input data problem,Correct the input data,"Oracle Reports
Data level analysis
Code level analysis"
Reports,Minus symbol missing for negative amounts  in Report,Code level issue,Code fix required,"Oracle Reports
Data level analysis
Code level analysis"
Reports,Wrong font in the report,Code level issue,,"Oracle Reports
Data level analysis
Code level analysis"
Reports,Closed Account Number visible in reports,Code level issue,,"Oracle Reports
Data level analysis
Code level analysis"
Reports,Performance Issue in generating the reports,"->Fetch query used for the report generation took too much time to compile
->Thread count configured for the report generation was configured to 1
->The data available in the tables which are used for the process was high
","->F77Index are added to the tables where the query had too long time.
->Thread count is configured to 5 for report generation.
->Purging of the tables 
","Oracle Reports
Data level analysis
Code level analysis"
Reports,Duplicate data in reports,Code level issue,,"Oracle Reports
Data level analysis
Code level analysis"
File Upload,File upload not working,File upload service may be down,Restart the Fileupload service,Log analysis
File Upload,"Special characters are not posting to DB after the processing of files
",Special characters are replaced with junk characters in DB,"->Verify whether the UTF-8 encoding Java parameter is set in run.sh inside the process container bin
->In the case of file processing switches, C81IFD_CHARACTER_SET in the input file definition should be UTF-8.
",
File Upload," Uploaded file rejected  with error ""Account not associated with the Product""",Product switiching has happend,"For updating the exceptions through UI, Always take the latest account data as feed for file.",
File Upload,Input file getting rejected,Input file not in sync with fileupload template,Correct the input data,Data analysis in the input feed
Pricing ,High CPU Utilization and memory utilization,Data analysis mainly the hierarchy related configurfations if the issue is observed in specific runs,Correct the data ,Data analysis in the input feed
Pricing ,Transaction records not included for pricing,Check the transaction table if records are loaded. Check pricing log if any rejections due to configuration.,Verify and correct the data and reload the transactions,Data analysis
Pricing ,Slowness in Pricing process,Threading logic to process the pricing may not be correct,Check the number of records assigned to each thread and the number of threads configured against the control configuration are in sink,Check the values configured against the control and the thread allocation logic
Pricing ,Account Waiver not applied and charged with price,"Waiver is not added for the account at the specific time
Waiver added before creating the account or customer and hence after customer/account creation waiver won't be there",Ensure waiver file is executed only after customer/Account creation,Check Waiver date applied and customer/account entry date and open date and it shoulb be before the waiver date
Pricing ,Recurring charge not priced,"Verify in XTP_NONUSG_CHRGS_PLAN to check whether records are available and NCP_TO_DATE is not null
Verify TARIFF VARIATION TV_TO_DATE for the respective charges",Verify the charges and correct if required,Verify the pricing output
Pricing ,,,,
Pricing ,"Qualifiers with string parameter value not getting resolved
","Charges with Qualifier Variation which has String Paramaters like (Acc ID,Category Code,etc) not getting resolved and Txn record getting rejected, though the variations are satisifed. In log error appers as 'NumericOperators.toDouble() | Input value does not contain a parsable double : Input value :HDFC'. Number precision is getting checked for a Qualifier attribute that has a string value","While creating Qualifier definition make sure that for String Parameters like Cust ID,Category Code, Acc ID or any custom string attributes, the operator selected in 'Same as' instead of 'Equal to'. 'Equal to' Operator is to be used only for Numeric and Date parameters like Age,Number fields 1,2, .. Date fields,etc",Verify if qualifier is resolved
Pricing ,Records not posted to GTD but posted to PTD,"GST is exempted
Branch came in the input file is missing in DB table and while validation, system will fails to proceed",Verify new Branch codes  has been entered in to the table before each month's transaction proceessing,"Either there will be rejection to RTE table
If rejection is not written, debug log required to analyze the flow "
Pricing ,"In X2.6 transaction pricing, BE integrity check violation error is thrown for few records.	","When multiple threads processing the transactions of same account and tried to insert into a table(which has a unique constraint), when a record was already present in the system that leads to BE148_BUKCONSTRAINT issue.	","Code fix required.	",Check the Business container debug logs for any erros.
Pricing ,Closed Customers are getting priced.,"In DBS,Whenever the Merchant account gets closed(MCP), in VALUE_ADDED_SERVICES table,
VAS_CLOSE_DATE is not updated and also in XTP_nonusg_chrges_plan,NCP_TO_DATE is not updated and hence getting Priced during Yearly Pricing Job Execution.","Created a trigger to update the vas and NCP after account update job.
1)Update the VAS_close_date as account close_date and VAS_Status as B.
2)Update the NCP_TO_DATE and NCP_CLOSING_DATE as account close_date.","1.Check the Account Master table data for the issue accounts for closure flag and date.
2.Check Closure date and flags were updated properly.
3.Check the Value_added_Service table to verify VAS_STATUS and VAS_CLOSE_DATE coulmns to confirm any closure values.VAS_STAUS was A and there was no value for VAS_CLOSE_DATE.
4.Check XTP_nonusg_chrges_plan table to verify NCP_TO_DATE value updated as account closure date.NCP_TO_DATE was not having any date"
